info_set_raw,cards_cluster,betting_stage,actions_history,num_previous_actions,last_action,call_probability,fold_probability,raise_probability
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.7126669411864555,0.0,0.2873330588135445
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.6674191907164514,0.0,0.33258080928354866
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.09780688356554204,0.0,0.902193116434458
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""call""]}]}",2,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.0036992852211003486,0.9607974119544676,0.035503302824432065
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.7708754208754208,0.0,0.2291245791245792
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.2319424625091327,0.0,0.7680575374908672
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.6656211852632432,0.0,0.3343788147367567
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,1.0,0.0,0.0
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""raise"",""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise', 'call']}",4,call,1.0,0.0,0.0
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'call']}",4,call,0.04479166666666667,0.0,0.9552083333333333
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.5329154475383995,0.0,0.46708455246160063
"{""cards_cluster"":3,""history"":[]}",3,pre_flop,{},0,none,0.03135630230539876,0.40748327859132166,0.5611604191032795
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""raise""]}]}",3,pre_flop,{'pre_flop': ['raise']},1,raise,0.31280835030568144,0.0,0.6871916496943187
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""call""]}]}",3,pre_flop,{'pre_flop': ['call']},1,call,0.7748726955227031,0.0,0.22512730447729695
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""call"",""raise""]}]}",3,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.6279838022358442,0.06949055547383787,0.30252564229031803
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",3,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.9675280484729928,0.0,0.03247195152700716
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""raise"",""call""]}]}",3,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.47873384344760034,0.02044109736417429,0.5008250591882254
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""call"",""call""]}]}",3,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.4173256917481297,0.055932515624008375,0.5267417926278619
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",3,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.4318228098638861,0.0,0.5681771901361138
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",3,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",3,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.5844444865932445,0.008766683667464371,0.4067888297392912
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",3,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.0,0.0,1.0
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",3,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,1.0,0.0,0.0
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""raise"",""raise"",""raise"",""call""]}]}",3,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise', 'call']}",4,call,0.0,0.0,1.0
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""call""]}]}",3,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'call']}",4,call,1.0,0.0,0.0
"{""cards_cluster"":3,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",3,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.0,0.0,1.0
"{""cards_cluster"":4,""history"":[]}",4,pre_flop,{},0,none,0.3941879199188305,0.11343743714004022,0.49237464294112926
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""call""]}]}",4,pre_flop,{'pre_flop': ['call']},1,call,0.362190356746122,0.0,0.637809643253878
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""raise""]}]}",4,pre_flop,{'pre_flop': ['raise']},1,raise,0.7393264108265434,0.0,0.2606735891734566
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""call"",""raise""]}]}",4,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.45115130314878205,0.06811407724656007,0.4807346196046578
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",4,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,1.0,0.0,0.0
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""raise"",""call""]}]}",4,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.0,0.0,1.0
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""call"",""call""]}]}",4,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.45018273056820024,0.09615960786964657,0.4536576615621531
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",4,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.3522949110831425,0.0,0.6477050889168574
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",4,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",4,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.9227314390467461,0.0,0.07726856095325388
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",4,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.9837865489269818,0.0,0.016213451073018238
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""raise"",""raise"",""raise"",""call""]}]}",4,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise', 'call']}",4,call,0.08856453918525203,0.0,0.9114354608147479
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""call""]}]}",4,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'call']}",4,call,0.0,0.0,1.0
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",4,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,1.0,0.0,0.0
"{""cards_cluster"":4,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",4,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.0289226787447428,0.0,0.9710773212552571
"{""cards_cluster"":5,""history"":[]}",5,pre_flop,{},0,none,0.1924383270254706,0.4865235567584199,0.3210381162161095
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""call""]}]}",5,pre_flop,{'pre_flop': ['call']},1,call,1.0,0.0,0.0
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""raise""]}]}",5,pre_flop,{'pre_flop': ['raise']},1,raise,0.6851861516427155,0.0024638586528047254,0.31234998970447986
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""call"",""raise""]}]}",5,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.4849576991794932,0.0,0.5150423008205067
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",5,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.9163197340564991,0.0,0.08368026594350077
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""raise"",""call""]}]}",5,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.0,0.0,1.0
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""call"",""call""]}]}",5,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.20601046084900623,0.43826018895444524,0.35572935019654844
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",5,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",5,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.5307589590046484,0.0,0.4692410409953516
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",5,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,1.0,0.0,0.0
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",5,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.6042801682993981,0.0,0.3957198317006017
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""raise"",""raise"",""raise"",""call""]}]}",5,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise', 'call']}",4,call,0.6641325960491204,0.0,0.33586740395087955
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",5,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,1.0,0.0,0.0
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""call""]}]}",5,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'call']}",4,call,0.0,0.0,1.0
"{""cards_cluster"":5,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",5,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.0,0.0,1.0
"{""cards_cluster"":6,""history"":[]}",6,pre_flop,{},0,none,0.052143902504155036,0.4221171404907002,0.5257389570051447
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""call""]}]}",6,pre_flop,{'pre_flop': ['call']},1,call,0.7141023650585733,0.0,0.2858976349414267
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""raise""]}]}",6,pre_flop,{'pre_flop': ['raise']},1,raise,0.8565410640761939,0.0,0.14345893592380612
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""call"",""raise""]}]}",6,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.47648885985494993,0.09799679874727352,0.4255143413977765
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""raise"",""call""]}]}",6,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.5074841561174924,0.05528613672964232,0.4372297071528653
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",6,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,1.0,0.0,0.0
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""call"",""call""]}]}",6,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.0,0.38142872968669106,0.6185712703133088
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",6,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.210055545258439,0.0,0.789944454741561
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",6,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",6,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.38986771674844245,0.0010483870967741924,0.6090838961547834
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",6,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.06265379504803342,0.0,0.9373462049519665
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""call""]}]}",6,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'call']}",4,call,0.49111833911870584,0.0,0.508881660881294
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""raise"",""raise"",""raise"",""call""]}]}",6,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise', 'call']}",4,call,0.3385801152591294,0.0,0.6614198847408705
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",6,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,1.0,0.0,0.0
"{""cards_cluster"":6,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",6,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.19791378195445286,0.0,0.8020862180455473
"{""cards_cluster"":7,""history"":[]}",7,pre_flop,{},0,none,0.8081480193742331,0.10890073340973698,0.08295124721603
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""call""]}]}",7,pre_flop,{'pre_flop': ['call']},1,call,0.1947041846944242,0.0,0.8052958153055758
